empty_slots,free_bikes,station_id,station_latitude,station_longitude,name,Restaurant,Rating,Longitude,Latitude,Address
13,22,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,10th & Cambie,La Taqueria Pinche Taco Shop,4.0,-123.112736,49.263559,2450 Yukon Street
13,22,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,10th & Cambie,Saku,4.5,-123.11667523250104,49.2631006,548 W Broadway
13,22,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,10th & Cambie,Hokkaido Ramen Santouka,4.0,-123.1168917,49.263127,558 W Broadway
13,22,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,10th & Cambie,Marulilu Cafe,4.0,-123.11415,49.26338,451 W Broadway
13,22,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,10th & Cambie,Seaport City Seafood Restaurant,4.0,-123.115152,49.263921119674905,2425 Cambie Street
13,22,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,10th & Cambie,iDen & Quan Ju De Beijing Duck House,3.5,-123.1148451,49.26021,2808 Cambie Street
13,22,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,10th & Cambie,Menya Raizo,4.0,-123.11314,49.26336,401 W Broadway
13,22,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,10th & Cambie,Peaceful Restaurant,3.5,-123.116143,49.263147,110-532 W Broadway
13,22,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,10th & Cambie,Uma Sushi,4.5,-123.1137294,49.2638048,450 W 8th Avenue
13,22,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,10th & Cambie,Sushi California,3.5,-123.112614326016,49.2630454633729,388 W Broadway
10,6,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,Yaletown-Roundhouse Station,The Flying Pig,4.0,-123.122,49.27501,1168 Hamilton Street
10,6,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,Yaletown-Roundhouse Station,Blue Water Cafe,4.5,-123.1209935,49.2761945,1095 Hamilton St
10,6,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,Yaletown-Roundhouse Station,Minami,4.0,-123.1207029,49.2752733,1118 Mainland Street
10,6,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,Yaletown-Roundhouse Station,Rodney's Oyster House,4.0,-123.123131,49.274326,1228 Hamilton Street
10,6,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,Yaletown-Roundhouse Station,Robba da Matti,4.0,-123.1208967,49.2753397,1127 Mainland Street
10,6,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,Yaletown-Roundhouse Station,Elisa,4.0,-123.1213608,49.2759562,1109 Hamilton Street
10,6,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,Yaletown-Roundhouse Station,Brix & Mortar,4.0,-123.1219105,49.27561628359493,1137 Hamilton Street
10,6,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,Yaletown-Roundhouse Station,Tasty Indian Bistro,4.0,-123.1236818,49.2744011,1261 Hamilton Street
10,6,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,Yaletown-Roundhouse Station,Cioppino's Mediterranean Grill,4.5,-123.121794,49.275522,1133 Hamilton Street
10,6,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,Yaletown-Roundhouse Station,Zab Zaab Thai Cuisine,4.5,-123.12321,49.27493,1211 Hamilton Street
0,26,6d42fa40360f9a6b2bf641c7b8bb2862,49.279764,-123.110154,Dunsmuir & Beatty,Chambar,4.0,-123.109925328073,49.2801460007961,568 Beatty Street
0,26,6d42fa40360f9a6b2bf641c7b8bb2862,49.279764,-123.110154,Dunsmuir & Beatty,Fanny Bay Oyster Bar & Shellfish Market,4.5,-123.1138689,49.2787525,762 Cambie St
0,26,6d42fa40360f9a6b2bf641c7b8bb2862,49.279764,-123.110154,Dunsmuir & Beatty,Jam Cafe on Beatty,4.5,-123.1096376,49.2802586,556 Beatty Street
0,26,6d42fa40360f9a6b2bf641c7b8bb2862,49.279764,-123.110154,Dunsmuir & Beatty,Pizzeria Ludica,4.0,-123.108486811639,49.2800427277576,189 Keefer Place
