Name,Rating,Longitude,Latitude,Address,Zipcode,station_id
La Taqueria Pinche Taco Shop,4.0,-123.112736,49.263559,2450 Yukon Street,V5Z 3V6,7a19c49f486d7c0c02b3685d7b240448
Saku,4.5,-123.11667523250104,49.2631006,548 W Broadway,V5Z 1E9,7a19c49f486d7c0c02b3685d7b240448
Hokkaido Ramen Santouka,4.0,-123.1168917,49.263127,558 W Broadway,V5Z 1E9,7a19c49f486d7c0c02b3685d7b240448
Uma Sushi,4.5,-123.1137294,49.2638048,450 W 8th Avenue,V5Y 1N9,7a19c49f486d7c0c02b3685d7b240448
Marulilu Cafe,4.0,-123.11415,49.26338,451 W Broadway,V5Y 1R4,7a19c49f486d7c0c02b3685d7b240448
iDen & Quan Ju De Beijing Duck House,3.5,-123.1148451,49.26021,2808 Cambie Street,V5Z 2V5,7a19c49f486d7c0c02b3685d7b240448
Seaport City Seafood Restaurant,4.0,-123.115152,49.263921119674905,2425 Cambie Street,V5Z 4M5,7a19c49f486d7c0c02b3685d7b240448
Menya Raizo,4.0,-123.11314,49.26336,401 W Broadway,V5Y 4A8,7a19c49f486d7c0c02b3685d7b240448
Peaceful Restaurant,3.5,-123.116143,49.263147,110-532 W Broadway,V5Z 1E9,7a19c49f486d7c0c02b3685d7b240448
Cactus Club Cafe,3.5,-123.117130327243,49.2633734327403,575 Broadway W,V5Z 1E6,7a19c49f486d7c0c02b3685d7b240448
The Flying Pig,4.0,-123.122,49.27501,1168 Hamilton Street,V6B 2S2,32603a87cfca71d0f7dfa3513bad69d5
Minami,4.0,-123.1207029,49.2752733,1118 Mainland Street,V6B 2T9,32603a87cfca71d0f7dfa3513bad69d5
Rodney's Oyster House,4.0,-123.123131,49.274326,1228 Hamilton Street,V6B 6L2,32603a87cfca71d0f7dfa3513bad69d5
OEB Breakfast Co. Yaletown,4.5,-123.1192724,49.2734341,1137 Marinaside Crescent,V6Z 2Y3,32603a87cfca71d0f7dfa3513bad69d5
Blue Water Cafe,4.5,-123.1209935,49.2761945,1095 Hamilton St,V6B 5T4,32603a87cfca71d0f7dfa3513bad69d5
Robba da Matti,4.0,-123.1208967,49.2753397,1127 Mainland Street,V6B 5P2,32603a87cfca71d0f7dfa3513bad69d5
Tasty Indian Bistro,4.0,-123.1236818,49.2744011,1261 Hamilton Street,V6B 6K3,32603a87cfca71d0f7dfa3513bad69d5
Elisa,4.0,-123.1213608,49.2759562,1109 Hamilton Street,V6B 5P6,32603a87cfca71d0f7dfa3513bad69d5
The Parlour,4.0,-123.120221,49.276835,1011 Hamilton Street,V6B 5T4,32603a87cfca71d0f7dfa3513bad69d5
Cioppino's Mediterranean Grill,4.5,-123.121794,49.275522,1133 Hamilton Street,V6B 5P6,32603a87cfca71d0f7dfa3513bad69d5
Chambar,4.0,-123.109925328073,49.2801460007961,568 Beatty Street,V6B 2L3,6d42fa40360f9a6b2bf641c7b8bb2862
Jam Cafe on Beatty,4.5,-123.1096376,49.2802586,556 Beatty Street,V6B 2L3,6d42fa40360f9a6b2bf641c7b8bb2862
Fanny Bay Oyster Bar & Shellfish Market,4.5,-123.1138689,49.2787525,762 Cambie St,V6B 2P2,6d42fa40360f9a6b2bf641c7b8bb2862
